Year,Station,Month,Rainfall,StationIndex
1985,Sylhet,6,1083,31
1985,Sylhet,7,670,31
1985,Sylhet,8,382,31
1985,Sylhet,9,596,31
1985,Sylhet,10,114,31
1985,Sylhet,11,0,31
1985,Sylhet,12,22,31
1986,Sylhet,1,4,31
1986,Sylhet,2,2,31
1986,Sylhet,3,41,31
1986,Sylhet,4,380,31
1986,Sylhet,5,225,31
1986,Sylhet,6,449,31
1986,Sylhet,7,646,31
1986,Sylhet,8,586,31
1986,Sylhet,9,494,31
1986,Sylhet,10,454,31
1986,Sylhet,11,106,31
1986,Sylhet,12,3,31
1987,Sylhet,1,2,31
1987,Sylhet,2,29,31
1987,Sylhet,3,184,31
1987,Sylhet,4,402,31
1987,Sylhet,5,222,31
1987,Sylhet,6,851,31
1987,Sylhet,7,1038,31
1987,Sylhet,8,860,31
1987,Sylhet,9,922,31
1987,Sylhet,10,157,31
1987,Sylhet,11,41,31
1987,Sylhet,12,14,31
1988,Sylhet,1,0,31
1988,Sylhet,2,29,31
1988,Sylhet,3,133,31
1988,Sylhet,4,332,31
1988,Sylhet,5,1129,31
1988,Sylhet,6,959,31
1988,Sylhet,7,738,31
1988,Sylhet,8,1157,31
1988,Sylhet,9,772,31
1988,Sylhet,10,169,31
1988,Sylhet,11,122,31
1988,Sylhet,12,80,31
1989,Sylhet,3,11,31
1989,Sylhet,4,312,31
1989,Sylhet,5,543,31
1989,Sylhet,6,870,31
1989,Sylhet,7,1342,31
1989,Sylhet,8,665,31
1989,Sylhet,9,1081,31
1989,Sylhet,10,524,31
1989,Sylhet,11,34,31
1989,Sylhet,12,1,31
1990,Sylhet,1,2,31
1990,Sylhet,2,45,31
1990,Sylhet,3,176,31
1990,Sylhet,4,574,31
1990,Sylhet,5,546,31
1990,Sylhet,6,551,31
1990,Sylhet,7,596,31
1990,Sylhet,8,582,31
1990,Sylhet,9,1023,31
1990,Sylhet,10,216,31
1990,Sylhet,11,40,31
1990,Sylhet,12,3,31
1991,Sylhet,1,10,31
1991,Sylhet,2,55,31
1991,Sylhet,3,60,31
1991,Sylhet,4,405,31
1991,Sylhet,5,1063,31
1991,Sylhet,6,1203,31
1991,Sylhet,7,351,31
1991,Sylhet,8,437,31
1991,Sylhet,9,781,31
1991,Sylhet,10,173,31
1991,Sylhet,11,3,31
1991,Sylhet,12,79,31
1992,Sylhet,1,0,31
1992,Sylhet,2,55,31
1992,Sylhet,3,172,31
1992,Sylhet,4,129,31
1992,Sylhet,5,544,31
1992,Sylhet,6,666,31
1992,Sylhet,7,901,31
1992,Sylhet,8,374,31
1992,Sylhet,9,459,31
1992,Sylhet,10,203,31
1992,Sylhet,11,3,31
1992,Sylhet,12,0,31
1993,Sylhet,1,35,31
1993,Sylhet,2,149,31
1993,Sylhet,3,96,31
1993,Sylhet,4,261,31
1993,Sylhet,5,587,31
1993,Sylhet,6,1099,31
1993,Sylhet,7,1174,31
1993,Sylhet,8,471,31
1993,Sylhet,9,702,31
1993,Sylhet,10,153,31
1993,Sylhet,11,2,31
1993,Sylhet,12,0,31
1994,Sylhet,1,23,31
1994,Sylhet,2,43,31
1994,Sylhet,3,514,31
1994,Sylhet,4,326,31
1994,Sylhet,5,342,31
1994,Sylhet,6,584,31
1994,Sylhet,7,757,31
1994,Sylhet,8,573,31
1994,Sylhet,9,227,31
1994,Sylhet,10,145,31
1994,Sylhet,11,4,31
1994,Sylhet,12,0,31
1995,Sylhet,1,10,31
1995,Sylhet,2,29,31
1995,Sylhet,3,80,31
1995,Sylhet,4,176,31
1995,Sylhet,5,327,31
1995,Sylhet,6,941,31
1995,Sylhet,7,874,31
1995,Sylhet,8,832,31
1995,Sylhet,9,423,31
1995,Sylhet,10,79,31
1995,Sylhet,11,102,31
1995,Sylhet,12,0,31
1996,Sylhet,1,2,31
1996,Sylhet,2,76,31
1996,Sylhet,3,257,31
1996,Sylhet,4,252,31
1996,Sylhet,5,759,31
1996,Sylhet,6,518,31
1996,Sylhet,7,745,31
1996,Sylhet,8,745,31
1996,Sylhet,9,379,31
1996,Sylhet,10,281,31
1996,Sylhet,11,0,31
1996,Sylhet,12,0,31
1997,Sylhet,1,1,31
1997,Sylhet,2,27,31
1997,Sylhet,3,111,31
1997,Sylhet,4,170,31
1997,Sylhet,5,347,31
1997,Sylhet,6,796,31
1997,Sylhet,7,681,31
1997,Sylhet,8,486,31
1997,Sylhet,9,946,31
1997,Sylhet,10,31,31
1997,Sylhet,11,23,31
1997,Sylhet,12,18,31
1998,Sylhet,2,15,31
1998,Sylhet,3,239,31
